,idiom,definition,Sentiment_Score
0,a moot point,A subject which gives rise to argument or debate.,-1.50
1,nothing doing,This term means that there is no way you would accept to do what is proposed.,0.40
2,at odds,To disagree with someone.,-1.60
3,olive branch,To show that someone wants to end a disagreement and make peace.,1.00
4,out of the question,To be impossible and is therefore not worth discussing.,-0.90
5,over someone's dead body,This expression is used by someone who absolutely refuses to allow someone to do something.,1.40
6,pick a fight,To deliberately look for an opportunity to start a quarrel or begin an argument.,0.30
7,pick holes,To criticize something or try to find fault with it.,-3.30
8,press something home,To insist on a point in a discussion or argument.,-1.50
9,running battle,To argue or disagree about something over a long period of time.,-3.00
10,send someone packing,"To tell someone to leave, in a very forceful and unfriendly way.",-2.20
11,shouting match,An argument or debate where people shout loudly at each other.,-1.50
12,sink someone's differences,To decide to forget disagreements.,-2.70
13,sit on the fence,To avoid taking sides in a discussion or argument.,-2.70
14,skating on thin ice,To do or say something that could cause disagreement or trouble.,-3.20
15,split hairs,To pay too much attention to differences that are very small or unimportant.,-2.20
16,water under the bridge,If something difficult or unpleasant took place in the past but is no longer important.,-2.40
17,wipe the slate clean,"To make a fresh start and forget all past offences, disagreements or mistakes.",-4.30
18,cat and dog life,A life in which partners are constantly or frequently quarrelling.,0.00
19,caught in the crossfire,To suffer the effects of an argument or dispute between two people or groups.,-5.70
20,clear the air,"To try to remove the causes of fear, worry or suspicion by talking about the problem openly.",-7.40
21,dead set against,To be strongly opposed to something.,1.10
22,devil's advocate,To pretend to be against an idea or plan in order to determine the validity of the arguments in favour of it.,-0.20
23,fight like cat and dog,"Two people who fight or argue frequently have violent arguments, even though they are fond of each other.",-0.95
24,go against the tide/stream,"To refuse to conform to current trends, or the opinions or behaviour of other people.",-1.20
25,hammer and tongs,"To argue fiercely, with a lot of energy and noise.",-0.30
26,let bygones be bygones,To decide to forget about past disagreements.,-2.70
27,let sleeping dogs lie,To ask someone not to interfere with a situation because they could cause problems.,-1.70
28,at loggerheads,To disagree very strongly with someone.,0.00
